dataset_source,track,reporting_phase,model_key,seed_count,MAE_median,MAE_std,RMSE_median,WMAPE_median,sMAPE_median,p90_error_median,failure_rate,training_duration,inference_latency,artifact_size,baseline_MAE,relative_mae_improvement_vs_baseline,paired_ci_lower,paired_ci_upper,promotion_status
bdg2,unseen_entity,H13_PLUS,deterministic_baseline,1,16688.690645442177,0.0,62525.83504141828,0.1741385890122175,0.25234638302585055,29657.14600000001,0.0,0.0,0.09389619049618138,0,16688.690645442177,,,,BASELINE
bdg2,unseen_entity,H13_PLUS,gradient_boosting,3,22800.792239982115,48.96795887460253,43929.29865189064,0.23791547661742893,0.4852589506605749,54276.20036493443,0.0,87.8758633999987,0.013057926829080743,139197,16688.690645442177,-36.62421291396641,1532.8353453344066,10066.084843740868,REJECTED_INSUFFICIENT_IMPROVEMENT
bdg2,unseen_entity,H13_PLUS,lightgbm,3,13135.1271549066,293.83544096452897,41430.882827155336,0.13705883570178035,0.30992749676550413,25047.72754697564,0.0,4.943082399999184,0.03175936807096921,957220,16688.690645442177,21.293243226999863,-6755.311487763765,-1219.3304682606663,NOT_PROMOTED
bdg2,unseen_entity,H13_PLUS,nbeats,3,10614.610911371168,272.07267590961004,30878.091613816105,0.11075844152726748,0.27204575352813665,23251.389875,0.0,29.656322999999247,1.9964090225572177,3127799,16688.690645442177,36.39638281466912,-10135.517913168847,-3228.1741465693894,NOT_PROMOTED
bdg2,unseen_entity,H13_PLUS,ridge,3,31798.41805004317,0.0,54743.54093459446,0.33180144384589194,0.852296550620762,75595.8935850802,0.0,2.4847502000011445,0.022014818920904837,9042,16688.690645442177,-90.53872305271346,10982.641629134016,18932.105930794838,REJECTED_INSUFFICIENT_IMPROVEMENT
london_smartmeter,seen_entity,H00,catboost,3,,0.0,,,,,0.0,10.060105899998234,0.009946490847099294,70944,,,,,NOT_PROMOTED
london_smartmeter,seen_entity,H00,deepar,3,,0.0,,,,,0.0,228.50764280000112,2.2922905362065555,10962157,,,,,NOT_PROMOTED
london_smartmeter,seen_entity,H00,deterministic_baseline,1,,0.0,,,,,0.0,0.0,0.000562499979293664,0,,,,,BASELINE
london_smartmeter,seen_entity,H00,gradient_boosting,3,,0.0,,,,,0.0,4954.925344300001,0.012602659665461419,162317,,,,,NOT_PROMOTED
london_smartmeter,seen_entity,H00,lightgbm,3,,0.0,,,,,0.0,13.123076900001251,0.013516798926127824,1308080,,,,,NOT_PROMOTED
london_smartmeter,seen_entity,H00,nbeats,3,,0.0,,,,,0.0,434.4076944999997,2.2583216404262267,10982391,,,,,NOT_PROMOTED
london_smartmeter,seen_entity,H00,ridge,3,,0.0,,,,,0.0,3.5952086000006602,0.006153565741503537,8186,,,,,NOT_PROMOTED
london_smartmeter,seen_entity,H01_02,catboost,3,43.84881534378996,0.25285372855015975,113.79660226480956,0.1332145464718774,0.150610570656289,77.33902105819958,0.0,10.060105899998234,0.009946490847099292,70944,57.83438636363637,24.182103242025406,-21.82655127045433,-6.975986145387256,NOT_PROMOTED
london_smartmeter,seen_entity,H01_02,deepar,3,,0.0,,,,,0.0,228.50764280000112,2.2922905362065555,10962157,57.83438636363637,,,,NOT_PROMOTED
london_smartmeter,seen_entity,H01_02,deterministic_baseline,1,57.83438636363637,0.0,127.36378224249482,0.17570329983845903,0.17885125813717717,125.86889999999995,0.0,0.0,0.01470454552335551,0,57.83438636363637,,,,BASELINE
london_smartmeter,seen_entity,H01_02,gradient_boosting,3,45.64007773412664,0.0,112.26102355024068,0.13865647700226805,0.1598816572603696,78.76015820620663,0.0,4954.925344300001,0.012602659665461419,162317,57.83438636363637,21.08487596433971,-19.64095889753229,-5.055006163855737,NOT_PROMOTED
london_smartmeter,seen_entity,H01_02,lightgbm,3,43.776343596387555,0.521905038978549,118.08375308429736,0.1329943742531631,0.13397099626513195,83.46529225185519,0.0,13.123076900001251,0.013516798926127825,1308080,57.83438636363637,24.307412339189046,-22.59424108693445,-6.447090162909633,NOT_PROMOTED
london_smartmeter,seen_entity,H01_02,nbeats,3,,0.0,,,,,0.0,434.4076944999997,2.258321640426226,10982391,57.83438636363637,,,,NOT_PROMOTED
london_smartmeter,seen_entity,H01_02,ridge,3,54.1290964487047,0.0,114.96257338970432,0.16444647313300623,0.20673904481381342,76.9597504839189,0.0,3.5952086000006602,0.006153565741503537,8186,57.83438636363637,6.406724697716143,-12.689221200508177,5.287484717287229,REJECTED_NOT_STATISTICALLY_SIGNIFICANT
london_smartmeter,seen_entity,H03_05,catboost,3,46.930269719017,0.8508797616985396,73.64999625189587,0.13734405214505893,0.17558790467382718,121.59229832233596,0.0,10.060105899998234,0.009946490847099294,70944,67.57670786516853,30.552595411049094,-35.221061373001184,-7.6791256902120715,NOT_PROMOTED
london_smartmeter,seen_entity,H03_05,deepar,3,,0.0,,,,,0.0,228.50764280000112,2.2922905362065555,10962157,67.57670786516853,,,,NOT_PROMOTED
london_smartmeter,seen_entity,H03_05,deterministic_baseline,1,67.57670786516853,0.0,107.64112654656437,0.19776700505652936,0.21245520996085668,181.5818,0.0,0.0,0.10947752811813863,0,67.57670786516853,,,,BASELINE
london_smartmeter,seen_entity,H03_05,gradient_boosting,3,50.067310466749014,1.479112654199449e-14,73.86978825679208,0.1465247768802311,0.1976052880648346,113.71255585343437,0.0,4954.925344300001,0.012602659665461419,162317,67.57670786516853,25.91040308349275,-31.24805854737603,-5.999951174671451,NOT_PROMOTED
london_smartmeter,seen_entity,H03_05,lightgbm,3,47.24121600596801,0.508808804985119,76.96644540475799,0.13825405379868266,0.15714998457605464,128.70825752045099,0.0,13.123076900001251,0.013516798926127824,1308080,67.57670786516853,30.092457152210816,-38.70751605809131,-4.987903049887812,NOT_PROMOTED
london_smartmeter,seen_entity,H03_05,nbeats,3,,0.0,,,,,0.0,434.4076944999997,2.258321640426226,10982391,67.57670786516853,,,,NOT_PROMOTED
