model_key,model_random_seed,baseline_model_key,baseline_random_seed,track,reporting_phase,model_success_observation_count,baseline_success_observation_count,paired_observation_count,paired_count,mae_difference,ci_95_lower,ci_95_upper,comparison_status,comparison_reason,significance_status,comparison_method,bootstrap_samples,minimum_paired_observations
deepar,43,deterministic_baseline,0,unseen_entity,H13_PLUS,1151,1151,1151,1151,-1354.5373056634426,-4482.685553793792,1730.9680006298997,OK,paired cohort meets minimum sample count,NO_DETECTED_DIFFERENCE,paired_observation_bootstrap_mean_absolute_error,500,30
gradient_boosting,17,deterministic_baseline,0,seen_entity,H00,5958,0,0,0,,,,NO_COMMON_COHORT,baseline has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,500,30
gradient_boosting,29,deterministic_baseline,0,seen_entity,H00,5958,0,0,0,,,,NO_COMMON_COHORT,baseline has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,500,30
gradient_boosting,43,deterministic_baseline,0,seen_entity,H00,5958,0,0,0,,,,NO_COMMON_COHORT,baseline has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,500,30
gradient_boosting,17,deterministic_baseline,0,seen_entity,H01_02,316,316,316,316,23993.301640947015,21492.901037344567,26776.735697076267,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,500,30
gradient_boosting,29,deterministic_baseline,0,seen_entity,H01_02,316,316,316,316,23993.30164094703,21402.48606733603,27127.54929368739,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,500,30
gradient_boosting,43,deterministic_baseline,0,seen_entity,H01_02,316,316,316,316,23993.301640946996,21383.74815174131,26848.50748486559,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,500,30
gradient_boosting,17,deterministic_baseline,0,seen_entity,H03_05,355,355,355,355,21962.70407076648,18845.747428278835,24628.778040795532,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,500,30
gradient_boosting,29,deterministic_baseline,0,seen_entity,H03_05,355,355,355,355,21962.704070766496,18305.131441982823,25030.41381121914,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,500,30
gradient_boosting,43,deterministic_baseline,0,seen_entity,H03_05,355,355,355,355,21962.704070766453,18517.3836123751,25363.09723222534,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,500,30
gradient_boosting,17,deterministic_baseline,0,seen_entity,H06_12,616,616,616,616,24701.888194809875,22702.799110067685,26953.933227680343,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,500,30
gradient_boosting,29,deterministic_baseline,0,seen_entity,H06_12,616,616,616,616,24701.888194809904,22817.120523167618,26869.164412272225,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,500,30
gradient_boosting,43,deterministic_baseline,0,seen_entity,H06_12,616,616,616,616,24701.888194809842,22360.929589037212,26839.505002192476,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,500,30
gradient_boosting,17,deterministic_baseline,0,seen_entity,H13_PLUS,7652,7652,7652,7652,10989.728905225582,3521.5050930532925,17077.112071601772,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,500,30
gradient_boosting,29,deterministic_baseline,0,seen_entity,H13_PLUS,7652,7652,7652,7652,11016.206838786302,3533.4467217573097,17654.832001129704,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,500,30
gradient_boosting,43,deterministic_baseline,0,seen_entity,H13_PLUS,7652,7652,7652,7652,10896.498243590153,3547.045771923136,17165.527927940064,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,500,30
gradient_boosting,17,deterministic_baseline,0,unseen_entity,H00,901,0,0,0,,,,NO_COMMON_COHORT,baseline has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,500,30
gradient_boosting,29,deterministic_baseline,0,unseen_entity,H00,901,0,0,0,,,,NO_COMMON_COHORT,baseline has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,500,30
gradient_boosting,43,deterministic_baseline,0,unseen_entity,H00,901,0,0,0,,,,NO_COMMON_COHORT,baseline has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,500,30
gradient_boosting,17,deterministic_baseline,0,unseen_entity,H01_02,57,57,57,57,16796.3430319386,7849.336259632234,26318.054831093494,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,500,30
gradient_boosting,29,deterministic_baseline,0,unseen_entity,H01_02,57,57,57,57,16796.34303193851,8368.966163694357,25484.32084454316,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,500,30
gradient_boosting,43,deterministic_baseline,0,unseen_entity,H01_02,57,57,57,57,16796.343031938613,7513.548497342303,27992.445047248857,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,500,30
gradient_boosting,17,deterministic_baseline,0,unseen_entity,H03_05,59,59,59,59,10917.86914315876,-2105.6037991392827,22963.412014788955,OK,paired cohort meets minimum sample count,NO_DETECTED_DIFFERENCE,paired_observation_bootstrap_mean_absolute_error,500,30
gradient_boosting,29,deterministic_baseline,0,unseen_entity,H03_05,59,59,59,59,10917.869143158718,-1955.729902265302,22398.54855391651,OK,paired cohort meets minimum sample count,NO_DETECTED_DIFFERENCE,paired_observation_bootstrap_mean_absolute_error,500,30
gradient_boosting,43,deterministic_baseline,0,unseen_entity,H03_05,59,59,59,59,10917.869143158714,-3206.1434262962525,21707.299285074605,OK,paired cohort meets minimum sample count,NO_DETECTED_DIFFERENCE,paired_observation_bootstrap_mean_absolute_error,500,30
gradient_boosting,17,deterministic_baseline,0,unseen_entity,H06_12,81,81,81,81,24013.038762302767,16775.67640351795,30385.031360682082,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,500,30
gradient_boosting,29,deterministic_baseline,0,unseen_entity,H06_12,81,81,81,81,24013.038762302745,17019.442198803972,30767.06589812931,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,500,30
gradient_boosting,43,deterministic_baseline,0,unseen_entity,H06_12,81,81,81,81,24013.03876230273,17151.305391858474,30690.163317036633,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,500,30
gradient_boosting,17,deterministic_baseline,0,unseen_entity,H13_PLUS,1151,1151,1151,1151,19411.253906184033,16065.182034865511,22949.488796494294,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,500,30
gradient_boosting,29,deterministic_baseline,0,unseen_entity,H13_PLUS,1151,1151,1151,1151,19411.253906184007,15772.704096007077,22900.631479280662,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,500,30
gradient_boosting,43,deterministic_baseline,0,unseen_entity,H13_PLUS,1151,1151,1151,1151,19411.25390618401,16292.137951960563,22845.687549186558,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,500,30
lightgbm,17,deterministic_baseline,0,seen_entity,H00,5958,0,0,0,,,,NO_COMMON_COHORT,baseline has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,500,30
lightgbm,29,deterministic_baseline,0,seen_entity,H00,5958,0,0,0,,,,NO_COMMON_COHORT,baseline has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,500,30
lightgbm,43,deterministic_baseline,0,seen_entity,H00,5958,0,0,0,,,,NO_COMMON_COHORT,baseline has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,500,30
lightgbm,17,deterministic_baseline,0,seen_entity,H01_02,316,316,316,316,51.53886651477916,-1217.4610999241195,1378.220163570171,OK,paired cohort meets minimum sample count,NO_DETECTED_DIFFERENCE,paired_observation_bootstrap_mean_absolute_error,500,30
lightgbm,29,deterministic_baseline,0,seen_entity,H01_02,316,316,316,316,69.47809545562762,-1070.8257404120636,1251.1849632320452,OK,paired cohort meets minimum sample count,NO_DETECTED_DIFFERENCE,paired_observation_bootstrap_mean_absolute_error,500,30
lightgbm,43,deterministic_baseline,0,seen_entity,H01_02,316,316,316,316,-44.878030445448026,-1208.7700395956492,1299.875629009667,OK,paired cohort meets minimum sample count,NO_DETECTED_DIFFERENCE,paired_observation_bootstrap_mean_absolute_error,500,30
lightgbm,17,deterministic_baseline,0,seen_entity,H03_05,355,355,355,355,-2456.4861148554187,-4486.5529867974155,-945.9457106921934,OK,paired cohort meets minimum sample count,MODEL_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,500,30
lightgbm,29,deterministic_baseline,0,seen_entity,H03_05,355,355,355,355,-2482.552902572539,-4882.626411326581,-948.6444317628559,OK,paired cohort meets minimum sample count,MODEL_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,500,30
lightgbm,43,deterministic_baseline,0,seen_entity,H03_05,355,355,355,355,-2620.216866015416,-4462.096277147231,-930.1835809258619,OK,paired cohort meets minimum sample count,MODEL_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,500,30
lightgbm,17,deterministic_baseline,0,seen_entity,H06_12,616,616,616,616,-390.6796407926163,-2093.8490153822477,1093.8269133166752,OK,paired cohort meets minimum sample count,NO_DETECTED_DIFFERENCE,paired_observation_bootstrap_mean_absolute_error,500,30
lightgbm,29,deterministic_baseline,0,seen_entity,H06_12,616,616,616,616,-28.723820960610766,-1525.748645251966,2017.6855572074487,OK,paired cohort meets minimum sample count,NO_DETECTED_DIFFERENCE,paired_observation_bootstrap_mean_absolute_error,500,30
lightgbm,43,deterministic_baseline,0,seen_entity,H06_12,616,616,616,616,118.5817052121879,-1559.6715259337107,1827.6702087027215,OK,paired cohort meets minimum sample count,NO_DETECTED_DIFFERENCE,paired_observation_bootstrap_mean_absolute_error,500,30
lightgbm,17,deterministic_baseline,0,seen_entity,H13_PLUS,7652,7652,7652,7652,11640.372431295322,-1819.555505168098,28583.649161328085,OK,paired cohort meets minimum sample count,NO_DETECTED_DIFFERENCE,paired_observation_bootstrap_mean_absolute_error,500,30
lightgbm,29,deterministic_baseline,0,seen_entity,H13_PLUS,7652,7652,7652,7652,11990.186330043798,-1613.3026117994232,29545.40888011292,OK,paired cohort meets minimum sample count,NO_DETECTED_DIFFERENCE,paired_observation_bootstrap_mean_absolute_error,500,30
lightgbm,43,deterministic_baseline,0,seen_entity,H13_PLUS,7652,7652,7652,7652,12551.904470403926,-879.5272852588009,29077.729941891554,OK,paired cohort meets minimum sample count,NO_DETECTED_DIFFERENCE,paired_observation_bootstrap_mean_absolute_error,500,30
lightgbm,17,deterministic_baseline,0,unseen_entity,H00,901,0,0,0,,,,NO_COMMON_COHORT,baseline has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,500,30
lightgbm,29,deterministic_baseline,0,unseen_entity,H00,901,0,0,0,,,,NO_COMMON_COHORT,baseline has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,500,30
lightgbm,43,deterministic_baseline,0,unseen_entity,H00,901,0,0,0,,,,NO_COMMON_COHORT,baseline has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,500,30
lightgbm,17,deterministic_baseline,0,unseen_entity,H01_02,57,57,57,57,1121.6157923314638,-3538.58893784588,6356.0331210624245,OK,paired cohort meets minimum sample count,NO_DETECTED_DIFFERENCE,paired_observation_bootstrap_mean_absolute_error,500,30
lightgbm,29,deterministic_baseline,0,unseen_entity,H01_02,57,57,57,57,388.9101363710363,-5383.323386359243,6339.62216759111,OK,paired cohort meets minimum sample count,NO_DETECTED_DIFFERENCE,paired_observation_bootstrap_mean_absolute_error,500,30
lightgbm,43,deterministic_baseline,0,unseen_entity,H01_02,57,57,57,57,-341.0589681379405,-5248.213279014731,4635.863624747384,OK,paired cohort meets minimum sample count,NO_DETECTED_DIFFERENCE,paired_observation_bootstrap_mean_absolute_error,500,30
lightgbm,17,deterministic_baseline,0,unseen_entity,H03_05,59,59,59,59,-4698.684782411371,-15600.135511008139,3896.6762527205137,OK,paired cohort meets minimum sample count,NO_DETECTED_DIFFERENCE,paired_observation_bootstrap_mean_absolute_error,500,30
lightgbm,29,deterministic_baseline,0,unseen_entity,H03_05,59,59,59,59,-5864.276778963698,-18011.770678152217,2884.8158096056086,OK,paired cohort meets minimum sample count,NO_DETECTED_DIFFERENCE,paired_observation_bootstrap_mean_absolute_error,500,30
lightgbm,43,deterministic_baseline,0,unseen_entity,H03_05,59,59,59,59,-8010.096977790867,-19715.935583189806,1025.8470450957984,OK,paired cohort meets minimum sample count,NO_DETECTED_DIFFERENCE,paired_observation_bootstrap_mean_absolute_error,500,30
lightgbm,17,deterministic_baseline,0,unseen_entity,H06_12,81,81,81,81,-1893.7003463135513,-5952.394498816808,1353.6162080586716,OK,paired cohort meets minimum sample count,NO_DETECTED_DIFFERENCE,paired_observation_bootstrap_mean_absolute_error,500,30
