reporting_phase,track,model_key,prediction_micro_count,eligible_prediction_micro_count,successful_prediction_micro_count,skipped_prediction_micro_count,failed_prediction_micro_count,micro_wmape,micro_mae,failure_reason_counts,ineligibility_reason_counts,common_cohort_observation_count,common_cohort_wmape,is_phase_champion,is_common_cohort_champion,is_product_routing_recommendation,available_cohort_rank,common_cohort_rank
H01_02,seen_entity,lightgbm,948,948,948,0,0,0.08554079147895492,9727.659541741383,"{""<NONE>"":948}","{""<NONE>"":948}",,,False,False,False,2.0,
H01_02,seen_entity,gradient_boosting,948,948,948,0,0,0.2963042345189471,33695.581538846745,"{""<NONE>"":948}","{""<NONE>"":948}",,,False,False,False,3.0,
H01_02,seen_entity,ridge,948,948,948,0,0,0.3501606347683402,39820.10665384691,"{""<NONE>"":948}","{""<NONE>"":948}",,,False,False,False,4.0,
H01_02,seen_entity,catboost,948,948,948,0,0,0.5710243781950531,64936.63017465352,"{""<NONE>"":948}","{""<NONE>"":948}",,,False,False,False,5.0,
H01_02,seen_entity,deepar,948,0,0,948,0,,,"{""<NONE>"":948}","{""MINIMUM_CONTEXT_6_MONTHS"":948}",,,False,False,False,,
H01_02,seen_entity,nbeats,948,0,0,948,0,,,"{""<NONE>"":948}","{""MINIMUM_CONTEXT_6_MONTHS"":948}",,,False,False,False,,
H01_02,unseen_entity,deterministic_baseline,57,57,57,0,0,0.07902484047935444,16453.077923106543,"{""<NONE>"":57}","{""<NONE>"":57}",,,False,False,False,1.0,
H01_02,unseen_entity,lightgbm,171,171,171,0,0,0.08089717383923603,16842.90024329473,"{""<NONE>"":171}","{""<NONE>"":171}",,,False,False,False,2.0,
H01_02,unseen_entity,gradient_boosting,171,171,171,0,0,0.15969839803124425,33249.42095504512,"{""<NONE>"":171}","{""<NONE>"":171}",,,False,False,False,3.0,
H01_02,unseen_entity,ridge,171,171,171,0,0,0.33695273652219904,70154.01229252841,"{""<NONE>"":171}","{""<NONE>"":171}",,,False,False,False,4.0,
H01_02,unseen_entity,catboost,171,171,171,0,0,0.7881632588720381,164096.64904972637,"{""<NONE>"":171}","{""<NONE>"":171}",,,False,False,False,5.0,
H01_02,unseen_entity,deepar,171,0,0,171,0,,,"{""<NONE>"":171}","{""MINIMUM_CONTEXT_6_MONTHS"":171}",,,False,False,False,,
H01_02,unseen_entity,nbeats,171,0,0,171,0,,,"{""<NONE>"":171}","{""MINIMUM_CONTEXT_6_MONTHS"":171}",,,False,False,False,,
H03_05,all_tracks,lightgbm,1242,1242,1242,0,0,0.1061734624782722,11515.511516036344,"{""<NONE>"":1242}","{""<NONE>"":1242}",414,0.1061734624782722,True,True,True,1.0,1.0
H03_05,all_tracks,deterministic_baseline,414,414,414,0,0,0.1342295971725579,14558.463442311051,"{""<NONE>"":414}","{""<NONE>"":414}",414,0.1342295971725579,False,False,False,2.0,2.0
H03_05,all_tracks,gradient_boosting,1242,1242,1242,0,0,0.32221403265672033,34947.14514416725,"{""<NONE>"":1242}","{""<NONE>"":1242}",414,0.32221403265672033,False,False,False,3.0,3.0
H03_05,all_tracks,ridge,1242,1242,1242,0,0,0.3509946114430722,38068.669852097446,"{""<NONE>"":1242}","{""<NONE>"":1242}",414,0.3509946114430722,False,False,False,4.0,4.0
H03_05,all_tracks,catboost,1242,1242,1242,0,0,0.6572101327210677,71280.62582826665,"{""<NONE>"":1242}","{""<NONE>"":1242}",414,0.6572101327210677,False,False,False,5.0,5.0
H03_05,all_tracks,deepar,1242,0,0,1242,0,,,"{""<NONE>"":1242}","{""MINIMUM_CONTEXT_6_MONTHS"":1242}",414,,False,False,False,,
H03_05,all_tracks,nbeats,1242,0,0,1242,0,,,"{""<NONE>"":1242}","{""MINIMUM_CONTEXT_6_MONTHS"":1242}",414,,False,False,False,,
H03_05,seen_entity,lightgbm,1065,1065,1065,0,0,0.09336274254202,8847.615765127945,"{""<NONE>"":1065}","{""<NONE>"":1065}",,,False,False,False,1.0,
H03_05,seen_entity,deterministic_baseline,355,355,355,0,0,0.11995193446258365,11367.36772627574,"{""<NONE>"":355}","{""<NONE>"":355}",,,False,False,False,2.0,
H03_05,seen_entity,ridge,1065,1065,1065,0,0,0.34661949694999794,32847.75106445976,"{""<NONE>"":1065}","{""<NONE>"":1065}",,,False,False,False,3.0,
